Detector ID, Start Latitude,Start Longitude, End Latitude,End Longitude,Road Name
5026292, 41.444058, -93.016625, 41.436026, -92.998496 , Highway 163
5026293, 41.436026, -92.998496, 41.42836424, -92.98167044 , Highway 163
5026294, 41.42836424, -92.98167044, 41.42183198, -92.96399408 , Highway 163
5026295, 41.42183198, -92.96399408, 41.415871, -92.954658 , Highway 163
5026290, 41.468337, -93.040355, 41.454733, -93.029053 , IA-163
5026291, 41.454733, -93.029053, 41.444058, -93.016625 , Highway 163
5026296, 41.511239, -93.10696, 41.511295, -93.095304 , Highway 163 E
5026298, 41.539286, -93.129998, 41.548053, -93.131602 , Highway 163 E
5026299, 41.549909, -93.134826, 41.539671, -93.130405 , Highway 163 E
5026281, 41.46056825, -93.03680065, 41.47523562, -93.04591569 , Highway 163
5026282, 41.47523562, -93.04591569, 41.48427365, -93.06139793 , IA-163
5026283, 41.48427365, -93.06139793, 41.49477428, -93.07454628 , IA-163
16212299, 41.7319261, -93.6682964, 41.718504, -93.663031 , NW 35th St
5026284, 41.49477428, -93.07454628, 41.507865, -93.084262 , IA-163
5026280, 41.448557, -93.02287, 41.46056825, -93.03680065 , Highway 163
5014296, 42.48157253, -92.44558621, 42.495002, -92.453408 , IA-58
5014295, 42.466391, -92.44504, 42.48157253, -92.44558621 , IA-58
5014298, 42.514602, -92.39122, 42.500213, -92.395235 , Greenhill Rd
5014297, 42.495002, -92.453408, 42.50889, -92.446236 , IA-58
5014292, 42.526451, -92.435422, 42.518651, -92.442608 , IA-58 S
5014291, 42.518192, -92.442515, 42.526058, -92.436175 , IA-58 N
5014294, 42.50889, -92.446236, 42.516583, -92.442742 , IA-58 N
5014293, 42.517148, -92.442819, 42.509201, -92.446011 , IA-58 S
5014290, 42.526058, -92.436175, 42.530965, -92.427198 , IA-58 N
5026285, 41.507865, -93.084262, 41.511604, -93.094382 , Highway 163 E
5026286, 41.511295, -93.095304, 41.50262091, -93.0806652 , Highway 163 E
5026287, 41.50262091, -93.0806652, 41.48904077, -93.06971126 , IA-163
5026288, 41.48904077, -93.06971126, 41.479754, -93.054099 , IA-163
